gene	expression	threshold	direction	TH_id	Fay_id	count
AC005339.1	4.68537955196	0	up	TH50_5178_S01	Sample 1	1
AC239868.1	4.71094415458	0	up	TH50_5178_S01	Sample 1	4
ACAP1	5.44890095115	3.98725804686546	up	TH50_5178_S01	Sample 1	1
AGL	8.40552442868	8.23582923412323	up	TH50_5178_S01	Sample 1	3
AKAP6	6.21120692859	5.89831402897835	up	TH50_5178_S01	Sample 1	10
AMOT	6.38180248317	6.13682898879051	up	TH50_5178_S01	Sample 1	7
ANK2	6.5541283436	6.52760064601898	up	TH50_5178_S01	Sample 1	9
ANO5	5.81429405828	5.72281312942505	up	TH50_5178_S01	Sample 1	4
APIP	5.68509917201	5.29177224636078	up	TH50_5178_S01	Sample 1	1
APOOL	4.98868468677	3.68510293960571	up	TH50_5178_S01	Sample 1	7
APPL1	5.19534759832	4.85264652967453	up	TH50_5178_S01	Sample 1	10
AQP4	6.59230752744	5.7537756562233	up	TH50_5178_S01	Sample 1	4
ARHGAP35	4.67242534197	4.51631212234497	up	TH50_5178_S01	Sample 1	4
ARHGAP5	5.11603199345	4.54623872041702	up	TH50_5178_S01	Sample 1	12
ATF7IP	4.9221978484	4.37216064333916	up	TH50_5178_S01	Sample 1	12
ATRNL1	4.84448608776	2.81380569934845	up	TH50_5178_S01	Sample 1	3
ATRX	4.84096670449	4.71368682384491	up	TH50_5178_S01	Sample 1	8
BCL2	4.58976348698	4.5714309066534	up	TH50_5178_S01	Sample 1	3
BHLHE41	6.97556140627	6.39994814991951	up	TH50_5178_S01	Sample 1	3
BNC2	5.42256941086	2.51627492904663	up	TH50_5178_S01	Sample 1	9
C16orf72	5.2909404024	4.77887615561485	up	TH50_5178_S01	Sample 1	10
CACNA2D1	6.83428141714	6.48013776540756	up	TH50_5178_S01	Sample 1	10
CAMSAP2	4.83743871486	3.64812612533569	up	TH50_5178_S01	Sample 1	11
CAPZA2	7.39848719002	7.20657080411911	up	TH50_5178_S01	Sample 1	5
CCSER2	5.79441586635	5.4960156083107	up	TH50_5178_S01	Sample 1	12
CEBPZOS	5.44890095115	5.41323328018188	up	TH50_5178_S01	Sample 1	1
COX16	5.75622271285	5.63895356655121	up	TH50_5178_S01	Sample 1	4
CTAGE5	5.25889575508	4.99731323122978	up	TH50_5178_S01	Sample 1	8
CTB-36O1.7	5.24716800037	0.384805770590901	up	TH50_5178_S01	Sample 1	7
CTC-264K15.6	4.86839045305	4.17183357477188	up	TH50_5178_S01	Sample 1	3
CTNNA3	5.12845838415	3.35091355443001	up	TH50_5178_S01	Sample 1	12
CUL5	5.3015876466	4.92447051405907	up	TH50_5178_S01	Sample 1	10
DDX6	5.53013318439	5.08095419406891	up	TH50_5178_S01	Sample 1	12
DMD	6.47151264805	6.41696274280548	up	TH50_5178_S01	Sample 1	9
DNAJC16	4.60169651648	4.00944468379021	up	TH50_5178_S01	Sample 1	1
DPP8	4.8242586966	4.45072847604752	up	TH50_5178_S01	Sample 1	7
ELK4	4.72082566609	3.77637529373169	up	TH50_5178_S01	Sample 1	9
FAM160A1	5.14649230698	4.36252510547638	up	TH50_5178_S01	Sample 1	8
FAM57B	5.05311133646	4.81031878292561	up	TH50_5178_S01	Sample 1	1
FEM1A	5.56163163038	5.07022097706795	up	TH50_5178_S01	Sample 1	5
FOXN3	6.23400306636	5.91048991680145	up	TH50_5178_S01	Sample 1	10
FP236383.5	6.91336815968	0	up	TH50_5178_S01	Sample 1	6
FP236383.7	11.1781045932	0	up	TH50_5178_S01	Sample 1	12
FP236383.8	11.1781045932	0	up	TH50_5178_S01	Sample 1	12
FP671120.2	11.1781045932	0	up	TH50_5178_S01	Sample 1	12
GATSL2	6.85984534392	6.3628748357296	up	TH50_5178_S01	Sample 1	5
GPD2	5.06393430575	5.03295749425888	up	TH50_5178_S01	Sample 1	5
HDAC9	4.49633451342	3.89945650100708	up	TH50_5178_S01	Sample 1	5
HIPK3	6.43712784427	5.96350193023682	up	TH50_5178_S01	Sample 1	11
HIST1H1E	5.44393811501	0.763647947460413	up	TH50_5178_S01	Sample 1	12
HIST1H4C	4.78293270482	0.352239375934005	up	TH50_5178_S01	Sample 1	10
HIST2H2AC	5.71259578045	1.23622037656605	up	TH50_5178_S01	Sample 1	12
IBTK	4.85499301676	4.691286444664	up	TH50_5178_S01	Sample 1	6
KIAA1109	4.97590527352	4.94482097029686	up	TH50_5178_S01	Sample 1	9
KLHL24	6.78070379397	6.06727540493011	up	TH50_5178_S01	Sample 1	11
KLHL31	8.08634856562	7.11653172969818	up	TH50_5178_S01	Sample 1	9
KPNA4	6.35367615775	6.12997448444366	up	TH50_5178_S01	Sample 1	6
KY	4.81198471935	2.76642384007573	up	TH50_5178_S01	Sample 1	3
LANCL1-AS1	5.41176518501	5.38792085647583	up	TH50_5178_S01	Sample 1	2
LINC00116	9.31422068407	9.21254712343216	up	TH50_5178_S01	Sample 1	2
LYRM7	4.77557736093	4.10643073916435	up	TH50_5178_S01	Sample 1	4
MACROD1	8.31392603679	8.00694841146469	up	TH50_5178_S01	Sample 1	5
MALAT1	10.3136199932	9.3313022851944	up	TH50_5178_S01	Sample 1	11
MED13	4.81813476081	4.50643843412399	up	TH50_5178_S01	Sample 1	12
MIR3648-1	7.25417828622	0	up	TH50_5178_S01	Sample 1	11
MIR3648-2	7.25417828622	0	up	TH50_5178_S01	Sample 1	11
MIR675	7.51506901403	0	up	TH50_5178_S01	Sample 1	12
MPP6	4.92979099772	4.82100713253021	up	TH50_5178_S01	Sample 1	2
MRPS30	5.68453824858	5.34817355871201	up	TH50_5178_S01	Sample 1	9
MSRB3	6.06004738367	5.72725611925125	up	TH50_5178_S01	Sample 1	6
MYLIP	5.13381009111	4.98901283740997	up	TH50_5178_S01	Sample 1	5
Metazoa_SRP	17.5550754334	8.13066589832306	up	TH50_5178_S01	Sample 1	12
NEDD1	4.79649392943	4.42565840482712	up	TH50_5178_S01	Sample 1	3
NFIA	4.7489978501	3.34056562185287	up	TH50_5178_S01	Sample 1	12
NFIB	5.04264433741	3.88137751817703	up	TH50_5178_S01	Sample 1	12
NFIX	7.83194056034	7.80738693475723	up	TH50_5178_S01	Sample 1	9
NPY6R	4.86344293435	4.49000719189644	up	TH50_5178_S01	Sample 1	4
NR1D2	5.46825746832	5.28267392516136	up	TH50_5178_S01	Sample 1	9
NT5C1A	6.22901103701	5.11326679587364	up	TH50_5178_S01	Sample 1	11
OIP5-AS1	6.10852445678	5.60412484407425	up	TH50_5178_S01	Sample 1	12
OPA1	6.29425313644	5.66659653186798	up	TH50_5178_S01	Sample 1	12
PCMTD1	6.56529252058	6.18739449977875	up	TH50_5178_S01	Sample 1	11
PCYOX1	6.0141320865	5.41402366757393	up	TH50_5178_S01	Sample 1	8
PDP1	5.73930807086	4.69187948107719	up	TH50_5178_S01	Sample 1	9
PET100	5.82171021503	5.72332888841629	up	TH50_5178_S01	Sample 1	1
PGPEP1	4.7489978501	4.59995180368423	up	TH50_5178_S01	Sample 1	1
PHF10	5.77346892791	5.7492424249649	up	TH50_5178_S01	Sample 1	3
PHTF2	6.7322691995	6.26733416318893	up	TH50_5178_S01	Sample 1	6
PLCL1	4.88019572894	4.4364060908556	up	TH50_5178_S01	Sample 1	4
PMEPA1	4.6340123564	4.49591276049614	up	TH50_5178_S01	Sample 1	5
PPARA	5.15055967658	5.04507347941399	up	TH50_5178_S01	Sample 1	7
PPP1R12B	7.3466023753	6.79130673408508	up	TH50_5178_S01	Sample 1	11
PPP3CA	5.32192809489	4.7969982624054	up	TH50_5178_S01	Sample 1	10
PPP3R1	6.53262865752	5.49494999647141	up	TH50_5178_S01	Sample 1	8
PWAR5	5.06307144984	3.22772125899792	up	TH50_5178_S01	Sample 1	8
QKI	7.39051292593	7.27589082717896	up	TH50_5178_S01	Sample 1	7
RASSF8	4.84146999947	4.1109327673912	up	TH50_5178_S01	Sample 1	4
RMND5A	5.83187724119	5.76198548078537	up	TH50_5178_S01	Sample 1	6
RMRP	12.2036661195	3.3882247209549	up	TH50_5178_S01	Sample 1	12
RN7SK	15.0919105313	6.64969027042389	up	TH50_5178_S01	Sample 1	12
RN7SKP255	4.98913900737	0	up	TH50_5178_S01	Sample 1	11
RN7SL1	15.0457784286	6.40118461847305	up	TH50_5178_S01	Sample 1	12
RN7SL4P	7.24317398347	0	up	TH50_5178_S01	Sample 1	12
RNA5-8S5	11.9202933002	11.6865390539169	up	TH50_5178_S01	Sample 1	7
RNF150	4.57167680997	4.2573082447052	up	TH50_5178_S01	Sample 1	3
RNU1-1	9.88158815152	6.60139593482018	up	TH50_5178_S01	Sample 1	12
RNU1-2	8.97622041319	6.63169279694557	up	TH50_5178_S01	Sample 1	7
RNU1-27P	8.97622041319	6.63169279694557	up	TH50_5178_S01	Sample 1	7
RNU1-28P	9.88158815152	6.60139593482018	up	TH50_5178_S01	Sample 1	12
RNU1-3	9.88158815152	6.60139593482018	up	TH50_5178_S01	Sample 1	12
RNU1-4	8.97622041319	6.63169279694557	up	TH50_5178_S01	Sample 1	7
RNU12	5.04875931192	0.449063926935196	up	TH50_5178_S01	Sample 1	2
RNU2-2P	8.6372044819	5.96454779861961	up	TH50_5178_S01	Sample 1	11
RNU4-1	7.56201340683	0	up	TH50_5178_S01	Sample 1	11
RNU4-2	10.1163569584	8.83461579680443	up	TH50_5178_S01	Sample 1	10
RNU5B-1	5.42290574261	0	up	TH50_5178_S01	Sample 1	5
RNVU1-18	9.88158815152	6.60139593482018	up	TH50_5178_S01	Sample 1	12
RNVU1-7	11.6804078763	4.75260004401207	up	TH50_5178_S01	Sample 1	5
RNY1	11.5645972849	0	up	TH50_5178_S01	Sample 1	12
RP11-345K20.2	5.71479501112	5.70091511309147	up	TH50_5178_S01	Sample 1	5
RP11-649E7.8	4.68032435684	0	up	TH50_5178_S01	Sample 1	2
RP11-701H24.4	4.6820113908	3.09373570978642	up	TH50_5178_S01	Sample 1	9
RP11-701H24.5	5.03033607837	3.02140408754349	up	TH50_5178_S01	Sample 1	11
RP11-750B16.1	5.08065766335	1.14956065267324	up	TH50_5178_S01	Sample 1	10
RP11-766F14.2	6.6232230759	6.02184984087944	up	TH50_5178_S01	Sample 1	10
RP11-809N8.5	7.7989577479	3.39405566453934	up	TH50_5178_S01	Sample 1	12
RP5-857K21.11	5.37330019661	4.18532091379166	up	TH50_5178_S01	Sample 1	11
RP5-857K21.7	5.22032995488	3.37801796197891	up	TH50_5178_S01	Sample 1	9
RP5-940J5.9	4.71039319217	3.40567108243704	up	TH50_5178_S01	Sample 1	10
RPPH1	12.2772292726	2.54061598703265	up	TH50_5178_S01	Sample 1	12
RTF1	5.05006629831	5.01533356308937	up	TH50_5178_S01	Sample 1	4
SAR1B	7.65549494602	7.34303629398346	up	TH50_5178_S01	Sample 1	3
SCARNA10	8.31288295528	0.981047917157412	up	TH50_5178_S01	Sample 1	12
SCARNA12	7.2789140195	3.2531111985445	up	TH50_5178_S01	Sample 1	12
SCARNA13	6.89348356291	2.80961666628718	up	TH50_5178_S01	Sample 1	12
