gene	expression	threshold	direction	TH_id	Fay_id
AARSD1	3.92124588859	4.38023293018341	down	TH50_5178_S01	Sample 1
ABCC5	3.62993940944	3.81865274906158	down	TH50_5178_S01	Sample 1
AC002398.12	1.23266075679	1.71660083532333	down	TH50_5178_S01	Sample 1
AC005062.2	0.0840642647885	0.965881854295731	down	TH50_5178_S01	Sample 1
AC005154.6	2.59454854955	2.64480292797089	down	TH50_5178_S01	Sample 1
AC007318.5	1.748461233	2.03355076909065	down	TH50_5178_S01	Sample 1
AC011737.2	0.985500430305	1.2278054356575	down	TH50_5178_S01	Sample 1
AC016739.2	1.94860084749	2.07443207502365	down	TH50_5178_S01	Sample 1
AC018766.4	0	0.421236336231232	down	TH50_5178_S01	Sample 1
AC093838.4	1.25096157353	1.39933267235756	down	TH50_5178_S01	Sample 1
ACAP3	2.81557542886	2.83940094709396	down	TH50_5178_S01	Sample 1
ACD	1.5210507369	1.56924605369568	down	TH50_5178_S01	Sample 1
ACTN1	1.68706068834	1.90263485908508	down	TH50_5178_S01	Sample 1
ACTR3B	1.94485844581	2.10932821035385	down	TH50_5178_S01	Sample 1
ADAMTS1	2.30742852519	2.68818825483322	down	TH50_5178_S01	Sample 1
ADM	1.71369581484	1.74201390147209	down	TH50_5178_S01	Sample 1
ADPGK	1.36737106565	1.40731054544449	down	TH50_5178_S01	Sample 1
AF127577.10	0	0.120280981063843	down	TH50_5178_S01	Sample 1
AGAP6	1.70929063572	2.0180546939373	down	TH50_5178_S01	Sample 1
AHSA2	2.40871186103	2.72437185049057	down	TH50_5178_S01	Sample 1
AKAP17A	2.48284828307	2.71754175424576	down	TH50_5178_S01	Sample 1
AKAP8L	3.82883464947	3.8963475227356	down	TH50_5178_S01	Sample 1
AL162151.3	0	0.359001100063324	down	TH50_5178_S01	Sample 1
ANKZF1	2.59693514239	2.61166730523109	down	TH50_5178_S01	Sample 1
ANP32B	3.48542682717	3.79473775625229	down	TH50_5178_S01	Sample 1
AP000892.6	0.163498732283	0.206033900380135	down	TH50_5178_S01	Sample 1
AP003419.11	0.422233000683	1.98282274603844	down	TH50_5178_S01	Sample 1
AP2A2	2.68481873755	2.76006186008453	down	TH50_5178_S01	Sample 1
APBB3	2.13093086983	2.27214223146439	down	TH50_5178_S01	Sample 1
APOD	5.53356334821	6.10809457302094	down	TH50_5178_S01	Sample 1
ARFGAP1	3.19692173382	3.28401917219162	down	TH50_5178_S01	Sample 1
ARGLU1	4.04526821514	4.4685897231102	down	TH50_5178_S01	Sample 1
ARHGEF1	2.40053792958	2.63494247198105	down	TH50_5178_S01	Sample 1
ARPC4-TTLL3	0.545968369105	0.690004020929337	down	TH50_5178_S01	Sample 1
ATHL1	0.765534746363	1.12822636961937	down	TH50_5178_S01	Sample 1
ATP6V0E1	4.72846476509	4.86961674690247	down	TH50_5178_S01	Sample 1
ATXN10	4.53418613909	4.57635724544525	down	TH50_5178_S01	Sample 1
BHLHE40	3.90689059561	4.12675178050995	down	TH50_5178_S01	Sample 1
BRK1	5.21800615028	5.23069941997528	down	TH50_5178_S01	Sample 1
BTNL9	2.92979099772	2.95529770851135	down	TH50_5178_S01	Sample 1
C17orf89	4.49633451342	4.70038467645645	down	TH50_5178_S01	Sample 1
C1S	3.57893871309	3.67023313045502	down	TH50_5178_S01	Sample 1
C3	2.45943161864	3.30555307865143	down	TH50_5178_S01	Sample 1
C9orf78	3.9643986322	3.9650810956955	down	TH50_5178_S01	Sample 1
CACNA1H	0.731183241572	0.765082135796547	down	TH50_5178_S01	Sample 1
CAMTA2	4.05050169745	4.18441373109818	down	TH50_5178_S01	Sample 1
CARKD	3.06867081067	3.32286411523819	down	TH50_5178_S01	Sample 1
CBWD3	1.49057013045	1.85836511850357	down	TH50_5178_S01	Sample 1
CCDC124	5.01122725542	5.05176967382431	down	TH50_5178_S01	Sample 1
CCDC130	2.95046841415	3.121657371521	down	TH50_5178_S01	Sample 1
CCDC23	2.41953889151	2.55445036292076	down	TH50_5178_S01	Sample 1
CCDC84	2.3812833725	2.78253147006035	down	TH50_5178_S01	Sample 1
CCL14	1.46988597627	1.76657992601395	down	TH50_5178_S01	Sample 1
CCNL2	3.9909548604	4.57613003253937	down	TH50_5178_S01	Sample 1
CCT6P1	0.150559676575	0.241647228598595	down	TH50_5178_S01	Sample 1
CCZ1B	2.76977173925	3.09109902381897	down	TH50_5178_S01	Sample 1
CDK11A	2.27202318906	2.93702161312103	down	TH50_5178_S01	Sample 1
CDKN1A	1.06350294231	2.92955374717712	down	TH50_5178_S01	Sample 1
CENPT	2.72465027173	2.99412855505943	down	TH50_5178_S01	Sample 1
CEP131	0.863938450424	1.03935274481773	down	TH50_5178_S01	Sample 1
CFAP61	1.64616265716	1.79746636748314	down	TH50_5178_S01	Sample 1
CFDP1	2.16671544497	2.86242669820786	down	TH50_5178_S01	Sample 1
CH507-42P11.8	0.495695162624	0.787744522094727	down	TH50_5178_S01	Sample 1
CHKA	1.84799690655	1.91065734624863	down	TH50_5178_S01	Sample 1
CHMP2A	5.14282184412	5.28970021009445	down	TH50_5178_S01	Sample 1
CHMP4A	2.69599381311	2.86025813221931	down	TH50_5178_S01	Sample 1
CHMP4B	5.49217365961	5.57473945617676	down	TH50_5178_S01	Sample 1
CIRBP	6.39266088071	6.40100848674774	down	TH50_5178_S01	Sample 1
CLASRP	3.70154905694	3.78081464767456	down	TH50_5178_S01	Sample 1
COMMD4	2.95791459863	3.12546873092651	down	TH50_5178_S01	Sample 1
CPNE1	4.13996056955	4.16150116920471	down	TH50_5178_S01	Sample 1
CPSF7	3.72900887034	3.80613112449646	down	TH50_5178_S01	Sample 1
CRELD2	1.94110631095	2.15154126286507	down	TH50_5178_S01	Sample 1
CRTC2	2.58736499094	2.6193745136261	down	TH50_5178_S01	Sample 1
CSAD	2.00360223668	2.33753934502602	down	TH50_5178_S01	Sample 1
CSNK2B	5.63284983012	5.64015102386475	down	TH50_5178_S01	Sample 1
CSNK2B-LY6G5B-1181	0	0.207409545779228	down	TH50_5178_S01	Sample 1
CSRNP1	1.94860084749	1.98361778259277	down	TH50_5178_S01	Sample 1
CSTB	2.29278174923	2.89360490441322	down	TH50_5178_S01	Sample 1
CTC-564N23.2	0	0.136643931269646	down	TH50_5178_S01	Sample 1
CTD-3252C9.4	1.51096191928	1.68009215593338	down	TH50_5178_S01	Sample 1
CXXC1	2.7949356628	3.07486712932587	down	TH50_5178_S01	Sample 1
CYTH1	3.224966365	3.32681423425674	down	TH50_5178_S01	Sample 1
DCTN2	5.20750245926	5.26320284605026	down	TH50_5178_S01	Sample 1
DDA1	3.62527048937	3.63061255216599	down	TH50_5178_S01	Sample 1
DDX11	0.963474123975	1.04142484068871	down	TH50_5178_S01	Sample 1
DDX24	4.77452352959	4.88962030410767	down	TH50_5178_S01	Sample 1
DDX27	2.05658352837	2.0992129445076	down	TH50_5178_S01	Sample 1
DGAT1	3.86690797814	3.90322124958038	down	TH50_5178_S01	Sample 1
DGKA	0.432959407276	0.705820381641388	down	TH50_5178_S01	Sample 1
DHPS	4.65076455912	4.75132888555527	down	TH50_5178_S01	Sample 1
DIO3OS	0.66902676551	1.16082781553268	down	TH50_5178_S01	Sample 1
DPH7	2.57288966842	2.6646586060524	down	TH50_5178_S01	Sample 1
EEF1B2	7.6049608695	7.87876200675964	down	TH50_5178_S01	Sample 1
EIF4BP6	0.918386234446	1.0362152159214	down	TH50_5178_S01	Sample 1
EMD	4.75274859141	4.9713522195816	down	TH50_5178_S01	Sample 1
EML3	1.64154602909	1.73704785108566	down	TH50_5178_S01	Sample 1
ENO2	0.333423733725	0.46542501449585	down	TH50_5178_S01	Sample 1
EP400NL	0.956056652412	1.01689469814301	down	TH50_5178_S01	Sample 1
ERVK3-1	3.01435529298	3.12331253290176	down	TH50_5178_S01	Sample 1
EVA1C	1.40599235968	1.77267119288445	down	TH50_5178_S01	Sample 1
FABP5P7	0.956056652412	2.27714458107948	down	TH50_5178_S01	Sample 1
FAM127B	2.32768736418	2.74169299006462	down	TH50_5178_S01	Sample 1
FAM160B2	3.50969584193	3.61235386133194	down	TH50_5178_S01	Sample 1
FAM50A	4.02945288579	4.25234121084213	down	TH50_5178_S01	Sample 1
FAM65C	0.992768430769	1.24021348357201	down	TH50_5178_S01	Sample 1
FBXL6	0.933572638261	1.07859021425247	down	TH50_5178_S01	Sample 1
FKBP2	2.29865831556	2.58123514056206	down	TH50_5178_S01	Sample 1
FSTL3	1.05658352837	1.07574492692947	down	TH50_5178_S01	Sample 1
GABBR1	1.16992500144	1.33586785197258	down	TH50_5178_S01	Sample 1
GADD45GIP1	3.79908730607	4.11067616939545	down	TH50_5178_S01	Sample 1
GAK	2.76553474636	2.77611637115479	down	TH50_5178_S01	Sample 1
GBA2	4.06004738367	4.29708397388458	down	TH50_5178_S01	Sample 1
GCSHP5	2.36176835942	3.49782395362854	down	TH50_5178_S01	Sample 1
GDI1	3.93451650159	4.29442632198334	down	TH50_5178_S01	Sample 1
GET4	3.38543103719	3.70355671644211	down	TH50_5178_S01	Sample 1
GJA4	2.22032995488	2.50562700629234	down	TH50_5178_S01	Sample 1
GOLGA6L5P	0.978195629682	1.17692169547081	down	TH50_5178_S01	Sample 1
GOLGA8B	1.31034012061	1.75646322965622	down	TH50_5178_S01	Sample 1
GORASP1	2.97636363573	3.0572282075882	down	TH50_5178_S01	Sample 1
GPX3	5.45614903465	5.68126446008682	down	TH50_5178_S01	Sample 1
GRASP	1.65076455912	1.88351944088936	down	TH50_5178_S01	Sample 1
GRINA	4.8068395818	4.94632542133331	down	TH50_5178_S01	Sample 1
