gene	expression	threshold	direction	TH_id	Fay_id
AARSD1	4.11103131239	4.38023293018341	down	TH50_5282_S01	Sample 5
AC004057.1	6.23016457788	6.42637741565704	down	TH50_5282_S01	Sample 5
AC005062.2	0.333423733725	0.965881854295731	down	TH50_5282_S01	Sample 5
AC006011.4	0	0.872914105653763	down	TH50_5282_S01	Sample 5
AC006449.2	2.45154083302	2.46129864454269	down	TH50_5282_S01	Sample 5
AC007318.5	1.65535182861	2.03355076909065	down	TH50_5282_S01	Sample 5
AC011737.2	1.18269229752	1.2278054356575	down	TH50_5282_S01	Sample 5
AF127577.10	0	0.120280981063843	down	TH50_5282_S01	Sample 5
AGAP6	1.80322703643	2.0180546939373	down	TH50_5282_S01	Sample 5
AL162151.3	0	0.359001100063324	down	TH50_5282_S01	Sample 5
AP003419.11	1.94485844581	1.98282274603844	down	TH50_5282_S01	Sample 5
APBB3	2	2.27214223146439	down	TH50_5282_S01	Sample 5
ARFIP2	2.25701061821	2.32235935330391	down	TH50_5282_S01	Sample 5
ARGLU1	4.30451104181	4.4685897231102	down	TH50_5282_S01	Sample 5
ATP5E	4.52606881167	4.63894617557526	down	TH50_5282_S01	Sample 5
ATP6V0E1	4.70929063572	4.86961674690247	down	TH50_5282_S01	Sample 5
C17orf89	3.72355856147	4.70038467645645	down	TH50_5282_S01	Sample 5
C1orf162	0.863938450424	0.95105367898941	down	TH50_5282_S01	Sample 5
C1orf53	0.17632277264	0.257877334952354	down	TH50_5282_S01	Sample 5
C9orf78	3.84096670449	3.9650810956955	down	TH50_5282_S01	Sample 5
CCDC124	5.01703108053	5.05176967382431	down	TH50_5282_S01	Sample 5
CCDC130	3.1093605594	3.121657371521	down	TH50_5282_S01	Sample 5
CCNL2	4.21567859661	4.57613003253937	down	TH50_5282_S01	Sample 5
CDK11A	2.75274859141	2.93702161312103	down	TH50_5282_S01	Sample 5
CDKN1A	1.0285691522	2.92955374717712	down	TH50_5282_S01	Sample 5
CFAP61	0.918386234446	1.79746636748314	down	TH50_5282_S01	Sample 5
CFDP1	2.70265754339	2.86242669820786	down	TH50_5282_S01	Sample 5
CHMP4A	2.41142624573	2.86025813221931	down	TH50_5282_S01	Sample 5
CHMP4B	5.38059093427	5.57473945617676	down	TH50_5282_S01	Sample 5
CLASRP	3.69932952567	3.78081464767456	down	TH50_5282_S01	Sample 5
CLTB	5.80555042521	6.01624256372452	down	TH50_5282_S01	Sample 5
COMMD4	3.07038932789	3.12546873092651	down	TH50_5282_S01	Sample 5
COX6C	7.8117278978	7.86734819412231	down	TH50_5282_S01	Sample 5
CPSF3L	4.84146999947	4.91487401723862	down	TH50_5282_S01	Sample 5
CSNK2B-LY6G5B-1181	0.0703893278914	0.207409545779228	down	TH50_5282_S01	Sample 5
CSTB	2.58976348698	2.89360490441322	down	TH50_5282_S01	Sample 5
CTC-564N23.2	0	0.136643931269646	down	TH50_5282_S01	Sample 5
CTD-2263F21.1	0.367371065649	0.821660369634628	down	TH50_5282_S01	Sample 5
DDX39B	5.8999006636	5.97732281684875	down	TH50_5282_S01	Sample 5
DIAPH1	3.38681094647	3.7736006975174	down	TH50_5282_S01	Sample 5
DNAJC17	1.91456452349	2.03595435619354	down	TH50_5282_S01	Sample 5
EEF1B2	7.74960130584	7.87876200675964	down	TH50_5282_S01	Sample 5
ENY2	4.33913738492	4.40238004922867	down	TH50_5282_S01	Sample 5
EXOSC7	3.34198574723	3.86476838588715	down	TH50_5282_S01	Sample 5
FABP5P7	0.62293035092	2.27714458107948	down	TH50_5282_S01	Sample 5
GABARAPL1	4.94016675048	5.03778445720673	down	TH50_5282_S01	Sample 5
GADD45GIP1	3.9772799235	4.11067616939545	down	TH50_5282_S01	Sample 5
GBA2	4.2779847473	4.29708397388458	down	TH50_5282_S01	Sample 5
GCSHP5	2.12763327973	3.49782395362854	down	TH50_5282_S01	Sample 5
GDI1	4.0232553523	4.29442632198334	down	TH50_5282_S01	Sample 5
GMPR	6.18428029442	6.27647620439529	down	TH50_5282_S01	Sample 5
GOLGA6L5P	1.03562390973	1.17692169547081	down	TH50_5282_S01	Sample 5
GOLGA8A	1.50080205306	1.51465272903442	down	TH50_5282_S01	Sample 5
GPX3	5.08193608172	5.68126446008682	down	TH50_5282_S01	Sample 5
GRINA	4.8723362881	4.94632542133331	down	TH50_5282_S01	Sample 5
GRIPAP1	2.43028527298	2.62867936491966	down	TH50_5282_S01	Sample 5
GUK1	5.32660925101	5.36759728193283	down	TH50_5282_S01	Sample 5
HBA2	0	1.60830336809158	down	TH50_5282_S01	Sample 5
HBB	0.250961573533	1.42165213823318	down	TH50_5282_S01	Sample 5
HERC3	3.51979348624	3.70096796751022	down	TH50_5282_S01	Sample 5
HINT1	6.33556900556	6.43502283096313	down	TH50_5282_S01	Sample 5
HNRNPA2B1	7.62388149001	7.95881187915802	down	TH50_5282_S01	Sample 5
HNRNPM	4.94110631095	5.10381555557251	down	TH50_5282_S01	Sample 5
