gene	expression	threshold	direction	TH_id	Fay_id
DDA1	3.50589092973	3.63061255216599	down	TH50_5281_S01	Sample 4
DDX24	4.70099449417	4.88962030410767	down	TH50_5281_S01	Sample 4
DDX39B	5.88337643667	5.97732281684875	down	TH50_5281_S01	Sample 4
DHRS4	2.82374936031	3.21036577224731	down	TH50_5281_S01	Sample 4
DIO3OS	1.13093086983	1.16082781553268	down	TH50_5281_S01	Sample 4
DPH7	2.2750070475	2.6646586060524	down	TH50_5281_S01	Sample 4
DPP7	4.33699741661	4.3694189786911	down	TH50_5281_S01	Sample 4
ENTPD6	3.45811948117	3.46718770265579	down	TH50_5281_S01	Sample 4
EVA1C	1.62293035092	1.77267119288445	down	TH50_5281_S01	Sample 4
EXOSC1	2.45680614923	2.49316954612732	down	TH50_5281_S01	Sample 4
EXOSC7	3.24792751344	3.86476838588715	down	TH50_5281_S01	Sample 4
FABP5P7	0.963474123975	2.27714458107948	down	TH50_5281_S01	Sample 4
FAM127B	2.48284828307	2.74169299006462	down	TH50_5281_S01	Sample 4
FAM50A	4.23112515788	4.25234121084213	down	TH50_5281_S01	Sample 4
FKBP2	2.26002565596	2.58123514056206	down	TH50_5281_S01	Sample 4
FN3KRP	1.57531233069	1.58415767550468	down	TH50_5281_S01	Sample 4
FUS	5.71424551767	5.81934785842896	down	TH50_5281_S01	Sample 4
GABARAPL1	4.92124588859	5.03778445720673	down	TH50_5281_S01	Sample 4
GADD45B	2.11103131239	2.1548884510994	down	TH50_5281_S01	Sample 4
GADD45GIP1	3.70154905694	4.11067616939545	down	TH50_5281_S01	Sample 4
GBA2	3.94579495674	4.29708397388458	down	TH50_5281_S01	Sample 4
GCSHP5	2.40053792958	3.49782395362854	down	TH50_5281_S01	Sample 4
GDI1	4.0478873294	4.29442632198334	down	TH50_5281_S01	Sample 4
GOLGA6L5P	0.985500430305	1.17692169547081	down	TH50_5281_S01	Sample 4
GOLGA8B	1.49569516262	1.75646322965622	down	TH50_5281_S01	Sample 4
GPX3	4.97452931248	5.68126446008682	down	TH50_5281_S01	Sample 4
GRASP	1.82781902462	1.88351944088936	down	TH50_5281_S01	Sample 4
GRINA	4.84699468697	4.94632542133331	down	TH50_5281_S01	Sample 4
GRIPAP1	2.59693514239	2.62867936491966	down	TH50_5281_S01	Sample 4
GTF2H4	2.35614381023	2.40265253186226	down	TH50_5281_S01	Sample 4
GUK1	5.29682445865	5.36759728193283	down	TH50_5281_S01	Sample 4
HBA1	0.0426443374085	0.860772311687469	down	TH50_5281_S01	Sample 4
HBA2	1.11769504267	1.60830336809158	down	TH50_5281_S01	Sample 4
HBB	0	1.42165213823318	down	TH50_5281_S01	Sample 4
HCG25	1.42223300068	1.44854059815407	down	TH50_5281_S01	Sample 4
HDAC10	2.02147972741	2.13748282194138	down	TH50_5281_S01	Sample 4
HDDC2	5.02369891727	5.19863921403885	down	TH50_5281_S01	Sample 4
HERC2P2	2.21101219349	2.59890276193619	down	TH50_5281_S01	Sample 4
HERC3	3.39369076419	3.70096796751022	down	TH50_5281_S01	Sample 4
HINT1	6.39917109382	6.43502283096313	down	TH50_5281_S01	Sample 4
HMGN5	0.226508529809	0.586973294615746	down	TH50_5281_S01	Sample 4
HNRNPA2B1	7.57122172505	7.95881187915802	down	TH50_5281_S01	Sample 4
HNRNPH3	4.49057013045	4.53230679035187	down	TH50_5281_S01	Sample 4
HNRNPM	4.61647532878	5.10381555557251	down	TH50_5281_S01	Sample 4
HNRNPUL2-BSCL2	1.19534759832	1.63497757911682	down	TH50_5281_S01	Sample 4
HSPB6	7.31596466981	7.5422328710556	down	TH50_5281_S01	Sample 4
IK	4.37920505996	4.49625223875046	down	TH50_5281_S01	Sample 4
ILKAP	3.19534759832	3.43692845106125	down	TH50_5281_S01	Sample 4
ING5	1.44890095115	1.55621767044067	down	TH50_5281_S01	Sample 4
INO80B-WBP1	0.367371065649	1.21442037820816	down	TH50_5281_S01	Sample 4
ISCA1P1	2.32768736418	2.36847543716431	down	TH50_5281_S01	Sample 4
ITGA5	2.37851162325	2.43771535158157	down	TH50_5281_S01	Sample 4
KAT2A	2.70043971814	3.05884540081024	down	TH50_5281_S01	Sample 4
KLF15	2.11436702495	2.33905786275864	down	TH50_5281_S01	Sample 4
LAMA5	2.57046293103	2.89640218019485	down	TH50_5281_S01	Sample 4
LAMTOR2	4.32912359629	4.3359609246254	down	TH50_5281_S01	Sample 4
LAMTOR4	4.82527683005	4.85381782054901	down	TH50_5281_S01	Sample 4
LAS1L	2.13093086983	2.39753478765488	down	TH50_5281_S01	Sample 4
