gene	expression	threshold	direction	TH_id	Fay_id
AARSD1	4.03474394932	4.38023293018341	down	TH50_5283_S01	Sample 6
AC005062.2	0.475084882949	0.965881854295731	down	TH50_5283_S01	Sample 6
AC007318.5	1.65076455912	2.03355076909065	down	TH50_5283_S01	Sample 6
AC011737.2	0.831877241192	1.2278054356575	down	TH50_5283_S01	Sample 6
AC016739.2	1.95605665241	2.07443207502365	down	TH50_5283_S01	Sample 6
AC093838.4	1.29865831556	1.39933267235756	down	TH50_5283_S01	Sample 6
ACAP3	2.81557542886	2.83940094709396	down	TH50_5283_S01	Sample 6
AF127577.10	0	0.120280981063843	down	TH50_5283_S01	Sample 6
AGAP6	1.29865831556	2.0180546939373	down	TH50_5283_S01	Sample 6
AHSA2	2.5993177937	2.72437185049057	down	TH50_5283_S01	Sample 6
AP003419.11	0	1.98282274603844	down	TH50_5283_S01	Sample 6
ARGLU1	4.26753579807	4.4685897231102	down	TH50_5283_S01	Sample 6
ARL16	2.44890095115	2.78538545966148	down	TH50_5283_S01	Sample 6
ARNTL	0.956056652412	1.62237599492073	down	TH50_5283_S01	Sample 6
ATP5E	4.44559429134	4.63894617557526	down	TH50_5283_S01	Sample 6
ATP6V0B	4.35543919725	4.42342633008957	down	TH50_5283_S01	Sample 6
C17orf89	4.10517519227	4.70038467645645	down	TH50_5283_S01	Sample 6
CCNL2	4.11686375769	4.57613003253937	down	TH50_5283_S01	Sample 6
CDK11A	2.3812833725	2.93702161312103	down	TH50_5283_S01	Sample 6
CDKN1A	1.65535182861	2.92955374717712	down	TH50_5283_S01	Sample 6
CFAP61	1.07724299893	1.79746636748314	down	TH50_5283_S01	Sample 6
CHMP4A	2.84599177066	2.86025813221931	down	TH50_5283_S01	Sample 6
CHMP4B	5.52857131887	5.57473945617676	down	TH50_5283_S01	Sample 6
CLASRP	3.57531233069	3.78081464767456	down	TH50_5283_S01	Sample 6
COA5	3.88264304936	4.00222635269165	down	TH50_5283_S01	Sample 6
COX17	5.38922261636	5.41125065088272	down	TH50_5283_S01	Sample 6
CPNE1	4.04264433741	4.16150116920471	down	TH50_5283_S01	Sample 6
CPSF3L	4.90255600534	4.91487401723862	down	TH50_5283_S01	Sample 6
CSAD	2.3015876466	2.33753934502602	down	TH50_5283_S01	Sample 6
CSTB	2.70708299177	2.89360490441322	down	TH50_5283_S01	Sample 6
CTB-79E8.3	0	0.518216550350189	down	TH50_5283_S01	Sample 6
CTC-564N23.2	0	0.136643931269646	down	TH50_5283_S01	Sample 6
CTD-2007L18.5	0	0.0297262668609619	down	TH50_5283_S01	Sample 6
CXXC1	2.90689059561	3.07486712932587	down	TH50_5283_S01	Sample 6
DGAT1	3.84799690655	3.90322124958038	down	TH50_5283_S01	Sample 6
DNAJC7	4.84498815668	4.8487337231636	down	TH50_5283_S01	Sample 6
DPH7	2.45154083302	2.6646586060524	down	TH50_5283_S01	Sample 6
EEF1B2	7.72567300037	7.87876200675964	down	TH50_5283_S01	Sample 6
EEF1B2P3	1.15055967658	1.46157702803612	down	TH50_5283_S01	Sample 6
EEF1D	7.92005505481	7.92197787761688	down	TH50_5283_S01	Sample 6
EVA1C	1.72683121703	1.77267119288445	down	TH50_5283_S01	Sample 6
EXOSC7	3.54101915313	3.86476838588715	down	TH50_5283_S01	Sample 6
FABP5P7	1.56071495447	2.27714458107948	down	TH50_5283_S01	Sample 6
FAM156B	0.495695162624	0.501093477010727	down	TH50_5283_S01	Sample 6
FAM50A	4.12928301694	4.25234121084213	down	TH50_5283_S01	Sample 6
FBXO6	1.72683121703	2.07174548506737	down	TH50_5283_S01	Sample 6
GADD45B	2.05311133646	2.1548884510994	down	TH50_5283_S01	Sample 6
GADD45GIP1	4.08576455378	4.11067616939545	down	TH50_5283_S01	Sample 6
GBA2	4.11270013275	4.29708397388458	down	TH50_5283_S01	Sample 6
GCSHP5	2.44890095115	3.49782395362854	down	TH50_5283_S01	Sample 6
GDI1	4.26753579807	4.29442632198334	down	TH50_5283_S01	Sample 6
GMPR	6.13216552548	6.27647620439529	down	TH50_5283_S01	Sample 6
GOLGA6L5P	0.641546029088	1.17692169547081	down	TH50_5283_S01	Sample 6
GOLGA8B	1.56559717585	1.75646322965622	down	TH50_5283_S01	Sample 6
