gene	expression	threshold	direction	TH_id	Fay_id	count
CIRBP	6.39266088071	6.40100848674774	down	TH50_5178_S01	Sample 1	1
CLASRP	3.70154905694	3.78081464767456	down	TH50_5178_S01	Sample 1	4
COMMD4	2.95791459863	3.12546873092651	down	TH50_5178_S01	Sample 1	2
CPNE1	4.13996056955	4.16150116920471	down	TH50_5178_S01	Sample 1	3
CPSF7	3.72900887034	3.80613112449646	down	TH50_5178_S01	Sample 1	2
CRELD2	1.94110631095	2.15154126286507	down	TH50_5178_S01	Sample 1	2
CRTC2	2.58736499094	2.6193745136261	down	TH50_5178_S01	Sample 1	1
CSAD	2.00360223668	2.33753934502602	down	TH50_5178_S01	Sample 1	3
CSNK2B	5.63284983012	5.64015102386475	down	TH50_5178_S01	Sample 1	1
CSNK2B-LY6G5B-1181	0	0.207409545779228	down	TH50_5178_S01	Sample 1	3
CSRNP1	1.94860084749	1.98361778259277	down	TH50_5178_S01	Sample 1	1
CSTB	2.29278174923	2.89360490441322	down	TH50_5178_S01	Sample 1	5
CTC-564N23.2	0	0.136643931269646	down	TH50_5178_S01	Sample 1	6
CTD-3252C9.4	1.51096191928	1.68009215593338	down	TH50_5178_S01	Sample 1	1
CXXC1	2.7949356628	3.07486712932587	down	TH50_5178_S01	Sample 1	3
CYTH1	3.224966365	3.32681423425674	down	TH50_5178_S01	Sample 1	1
DCTN2	5.20750245926	5.26320284605026	down	TH50_5178_S01	Sample 1	1
DDA1	3.62527048937	3.63061255216599	down	TH50_5178_S01	Sample 1	2
DDX11	0.963474123975	1.04142484068871	down	TH50_5178_S01	Sample 1	1
DDX24	4.77452352959	4.88962030410767	down	TH50_5178_S01	Sample 1	2
DDX27	2.05658352837	2.0992129445076	down	TH50_5178_S01	Sample 1	1
DGAT1	3.86690797814	3.90322124958038	down	TH50_5178_S01	Sample 1	2
DGKA	0.432959407276	0.705820381641388	down	TH50_5178_S01	Sample 1	1
DHPS	4.65076455912	4.75132888555527	down	TH50_5178_S01	Sample 1	1
DIO3OS	0.66902676551	1.16082781553268	down	TH50_5178_S01	Sample 1	2
DPH7	2.57288966842	2.6646586060524	down	TH50_5178_S01	Sample 1	3
EEF1B2	7.6049608695	7.87876200675964	down	TH50_5178_S01	Sample 1	4
EIF4BP6	0.918386234446	1.0362152159214	down	TH50_5178_S01	Sample 1	1
EMD	4.75274859141	4.9713522195816	down	TH50_5178_S01	Sample 1	1
EML3	1.64154602909	1.73704785108566	down	TH50_5178_S01	Sample 1	1
ENO2	0.333423733725	0.46542501449585	down	TH50_5178_S01	Sample 1	1
EP400NL	0.956056652412	1.01689469814301	down	TH50_5178_S01	Sample 1	1
ERVK3-1	3.01435529298	3.12331253290176	down	TH50_5178_S01	Sample 1	1
EVA1C	1.40599235968	1.77267119288445	down	TH50_5178_S01	Sample 1	3
FABP5P7	0.956056652412	2.27714458107948	down	TH50_5178_S01	Sample 1	6
FAM127B	2.32768736418	2.74169299006462	down	TH50_5178_S01	Sample 1	2
FAM160B2	3.50969584193	3.61235386133194	down	TH50_5178_S01	Sample 1	1
FAM50A	4.02945288579	4.25234121084213	down	TH50_5178_S01	Sample 1	3
FAM65C	0.992768430769	1.24021348357201	down	TH50_5178_S01	Sample 1	1
FBXL6	0.933572638261	1.07859021425247	down	TH50_5178_S01	Sample 1	1
FKBP2	2.29865831556	2.58123514056206	down	TH50_5178_S01	Sample 1	2
FSTL3	1.05658352837	1.07574492692947	down	TH50_5178_S01	Sample 1	1
GABBR1	1.16992500144	1.33586785197258	down	TH50_5178_S01	Sample 1	1
GADD45GIP1	3.79908730607	4.11067616939545	down	TH50_5178_S01	Sample 1	6
GAK	2.76553474636	2.77611637115479	down	TH50_5178_S01	Sample 1	1
GBA2	4.06004738367	4.29708397388458	down	TH50_5178_S01	Sample 1	4
GCSHP5	2.36176835942	3.49782395362854	down	TH50_5178_S01	Sample 1	6
GDI1	3.93451650159	4.29442632198334	down	TH50_5178_S01	Sample 1	4
GET4	3.38543103719	3.70355671644211	down	TH50_5178_S01	Sample 1	1
GJA4	2.22032995488	2.50562700629234	down	TH50_5178_S01	Sample 1	1
GOLGA6L5P	0.978195629682	1.17692169547081	down	TH50_5178_S01	Sample 1	4
GOLGA8B	1.31034012061	1.75646322965622	down	TH50_5178_S01	Sample 1	3
GORASP1	2.97636363573	3.0572282075882	down	TH50_5178_S01	Sample 1	1
GPX3	5.45614903465	5.68126446008682	down	TH50_5178_S01	Sample 1	5
GRASP	1.65076455912	1.88351944088936	down	TH50_5178_S01	Sample 1	2
GRINA	4.8068395818	4.94632542133331	down	TH50_5178_S01	Sample 1	4
GRIPAP1	2.21412480535	2.62867936491966	down	TH50_5178_S01	Sample 1	4
GUSB	2.03913839391	2.2941227555275	down	TH50_5178_S01	Sample 1	1
GUSBP11	1.13093086983	1.54047912359238	down	TH50_5178_S01	Sample 1	1
H1FX-AS1	0.0840642647885	0.157395973801613	down	TH50_5178_S01	Sample 1	1
H3F3AP4	4.90400231628	5.03369641304016	down	TH50_5178_S01	Sample 1	2
HABP4	1.53605290024	1.56609061360359	down	TH50_5178_S01	Sample 1	1
HBA2	0	1.60830336809158	down	TH50_5178_S01	Sample 1	6
HCLS1	0.748461233004	0.89920648932457	down	TH50_5178_S01	Sample 1	1
HDAC10	2.07724299893	2.13748282194138	down	TH50_5178_S01	Sample 1	3
HDAC3	3.60288440872	3.65321457386017	down	TH50_5178_S01	Sample 1	1
HERC2P9	2.37851162325	2.57787311077118	down	TH50_5178_S01	Sample 1	1
HERC3	3.59335377098	3.70096796751022	down	TH50_5178_S01	Sample 1	4
HNRNPA2B1	7.68509917201	7.95881187915802	down	TH50_5178_S01	Sample 1	6
HNRNPM	4.57167680997	5.10381555557251	down	TH50_5178_S01	Sample 1	5
HNRNPU-AS1	1.96716860753	2.08688712120056	down	TH50_5178_S01	Sample 1	2
HOXC-AS1	0.124328135002	1.60611009597778	down	TH50_5178_S01	Sample 1	1
HOXC-AS2	0	0.0967099070549011	down	TH50_5178_S01	Sample 1	1
HOXC10	0.13750352375	4.3253852725029	down	TH50_5178_S01	Sample 1	1
HOXC4	0.0565835283664	0.595406055450439	down	TH50_5178_S01	Sample 1	1
HOXC6	0.713695814843	1.96870711445808	down	TH50_5178_S01	Sample 1	1
HOXC8	0.321928094887	1.92787650227547	down	TH50_5178_S01	Sample 1	2
HOXC9	0.214124805353	3.06238037347794	down	TH50_5178_S01	Sample 1	2
HSPE1-MOB4	0	0.511609703302383	down	TH50_5178_S01	Sample 1	2
IFITM2	3.57893871309	4.16010844707489	down	TH50_5178_S01	Sample 1	1
IK	4.21800615028	4.49625223875046	down	TH50_5178_S01	Sample 1	3
ILK	4.53356334821	4.55338209867477	down	TH50_5178_S01	Sample 1	1
ILKAP	3.3476656563	3.43692845106125	down	TH50_5178_S01	Sample 1	3
IMPDH2	4.86294724802	4.90649509429932	down	TH50_5178_S01	Sample 1	1
INO80B-WBP1	0	1.21442037820816	down	TH50_5178_S01	Sample 1	6
ISCA1P1	1.10433665981	2.36847543716431	down	TH50_5178_S01	Sample 1	6
ISYNA1	1.54101915313	1.66552293300629	down	TH50_5178_S01	Sample 1	1
KAT2A	2.90689059561	3.05884540081024	down	TH50_5178_S01	Sample 1	3
KCTD13	1.10433665981	1.10601517558098	down	TH50_5178_S01	Sample 1	1
KIAA0141	4.01613970266	4.45255893468857	down	TH50_5178_S01	Sample 1	3
LAMA5	2.44625622989	2.89640218019485	down	TH50_5178_S01	Sample 1	3
LAMTOR4	4.77505054148	4.85381782054901	down	TH50_5178_S01	Sample 1	2
LARP6	1.44360665148	1.53828227519989	down	TH50_5178_S01	Sample 1	1
LAS1L	2.124328135	2.39753478765488	down	TH50_5178_S01	Sample 1	3
LEMD2	2.48542682717	2.68024808168411	down	TH50_5178_S01	Sample 1	1
LENG8	3.39506279952	4.04872095584869	down	TH50_5178_S01	Sample 1	2
LGI4	1.98913900737	2.12430265545845	down	TH50_5178_S01	Sample 1	2
LIMS2	2.84398384405	2.92050892114639	down	TH50_5178_S01	Sample 1	1
LLPH	2.50589092973	2.52535447478294	down	TH50_5178_S01	Sample 1	1
LMBR1L	2.68706068834	2.69692122936249	down	TH50_5178_S01	Sample 1	1
LMF2	2.55826763406	2.62371787428856	down	TH50_5178_S01	Sample 1	1
LSM6	2.15704371015	2.43162137269974	down	TH50_5178_S01	Sample 1	1
LUC7L3	4.27202318906	4.93976300954819	down	TH50_5178_S01	Sample 1	4
LY6G5B	0.748461233004	1.34122800827026	down	TH50_5178_S01	Sample 1	4
LYPLA2	3.08915913191	3.17345458269119	down	TH50_5178_S01	Sample 1	1
MAD2L2	3.05137210172	3.24746376276016	down	TH50_5178_S01	Sample 1	3
MAFF	0.333423733725	0.730259746313095	down	TH50_5178_S01	Sample 1	1
MAGOH	3.0071955014	3.06499314308167	down	TH50_5178_S01	Sample 1	1
MAN2C1	4.40122086216	4.68923956155777	down	TH50_5178_S01	Sample 1	2
MANF	1.72683121703	1.73780599236488	down	TH50_5178_S01	Sample 1	1
MAP3K6	1.20163386117	1.67538374662399	down	TH50_5178_S01	Sample 1	1
MAPK8IP3	2.61588707392	3.06568604707718	down	TH50_5178_S01	Sample 1	3
MFGE8	4.88410945136	5.20970290899277	down	TH50_5178_S01	Sample 1	1
MGP	3.39917109382	3.56825745105743	down	TH50_5178_S01	Sample 1	1
MGST1	0.704871964456	0.745299339294434	down	TH50_5178_S01	Sample 1	2
MLPH	0.367371065649	0.481629505753517	down	TH50_5178_S01	Sample 1	1
MORN4	0.650764559117	0.701742798089981	down	TH50_5178_S01	Sample 1	1
MRFAP1L1	3.45680614923	3.48781681060791	down	TH50_5178_S01	Sample 1	1
MRPL20	5.39266088071	5.90636897087097	down	TH50_5178_S01	Sample 1	6
MRPL52	4.42021289061	4.94794297218323	down	TH50_5178_S01	Sample 1	4
MSTO1	1.54101915313	1.57805636525154	down	TH50_5178_S01	Sample 1	1
MT-ATP6	12.0200458421	14.3011739253998	down	TH50_5178_S01	Sample 1	6
MT-ATP8	11.2103365023	14.7105716466904	down	TH50_5178_S01	Sample 1	6
MT-CO2	13.0730520041	13.6593023538589	down	TH50_5178_S01	Sample 1	5
MT-CYB	12.6991494726	13.363657951355	down	TH50_5178_S01	Sample 1	5
MT-ND1	11.815819561	13.1162256002426	down	TH50_5178_S01	Sample 1	6
MT-ND2	11.1650137425	13.1055195331573	down	TH50_5178_S01	Sample 1	6
MT-ND3	12.3465192735	12.9562729597092	down	TH50_5178_S01	Sample 1	5
MT-ND4	12.1825278151	13.7378146648407	down	TH50_5178_S01	Sample 1	6
MT-ND4L	12.2136389022	13.0304819345474	down	TH50_5178_S01	Sample 1	5
MT-ND6	10.5288154718	10.5357081890106	down	TH50_5178_S01	Sample 1	3
MT-RNR1	7.10297300424	9.75198471546173	down	TH50_5178_S01	Sample 1	6
MT-RNR2	7.19869058567	11.9540433883667	down	TH50_5178_S01	Sample 1	6
MTATP6P1	8.85031187622	11.2067506313324	down	TH50_5178_S01	Sample 1	6
MTCP1	1.62293035092	2.58595159649849	down	TH50_5178_S01	Sample 1	6
MTMR11	0.226508529809	0.241181865334511	down	TH50_5178_S01	Sample 1	1
MYO15B	2.82578562746	2.95660638809204	down	TH50_5178_S01	Sample 1	2
MYO9B	1.7782085764	1.78433814644814	down	TH50_5178_S01	Sample 1	1
NAA10	4.84046323387	5.02557170391083	down	TH50_5178_S01	Sample 1	1
