gene	expression	threshold	direction	TH_id	Fay_id
AARSD1	3.97636363573	4.38023293018341	down	TH50_5280_S01	Sample 3
AC005062.2	0.411426245726	0.965881854295731	down	TH50_5280_S01	Sample 3
AC007318.5	1.64616265716	2.03355076909065	down	TH50_5280_S01	Sample 3
AC011737.2	0.941106310946	1.2278054356575	down	TH50_5280_S01	Sample 3
AF127577.10	0	0.120280981063843	down	TH50_5280_S01	Sample 3
AP003419.11	0	1.98282274603844	down	TH50_5280_S01	Sample 3
ART3	4.03121873061	4.6547115445137	down	TH50_5280_S01	Sample 3
ASB2	5.75328361646	5.97502827644348	down	TH50_5280_S01	Sample 3
ATP2A1	5.98230913013	6.55305635929108	down	TH50_5280_S01	Sample 3
ATP5E	4.38335869539	4.63894617557526	down	TH50_5280_S01	Sample 3
C17orf89	4.08151006812	4.70038467645645	down	TH50_5280_S01	Sample 3
CBWD3	1.49057013045	1.85836511850357	down	TH50_5280_S01	Sample 3
CDKL3	0.790772037862	0.813843339681625	down	TH50_5280_S01	Sample 3
CHCHD10	7.89645350649	7.95505142211914	down	TH50_5280_S01	Sample 3
COX6C	7.81755930685	7.86734819412231	down	TH50_5280_S01	Sample 3
CTB-63M22.1	1	1.26322686672211	down	TH50_5280_S01	Sample 3
CTC-564N23.2	0	0.136643931269646	down	TH50_5280_S01	Sample 3
CTD-2192J16.15	1.56559717585	1.89505475759506	down	TH50_5280_S01	Sample 3
EEF1B2	7.71843012855	7.87876200675964	down	TH50_5280_S01	Sample 3
EEF1B2P3	1.23266075679	1.46157702803612	down	TH50_5280_S01	Sample 3
EEF1G	9.50466011364	9.6374899148941	down	TH50_5280_S01	Sample 3
FABP5P7	1.44360665148	2.27714458107948	down	TH50_5280_S01	Sample 3
FAM166B	1.93357263826	2.91751080751419	down	TH50_5280_S01	Sample 3
FAU	7.82444965136	7.90837073326111	down	TH50_5280_S01	Sample 3
FHL3	7.33993905539	7.68845450878143	down	TH50_5280_S01	Sample 3
GADD45GIP1	4.02945288579	4.11067616939545	down	TH50_5280_S01	Sample 3
GAPDH	11.606072031	11.6645961999893	down	TH50_5280_S01	Sample 3
GCSHP5	2.42223300068	3.49782395362854	down	TH50_5280_S01	Sample 3
GLTSCR2	6.00495075995	6.09747415781021	down	TH50_5280_S01	Sample 3
GMPR	5.90472492839	6.27647620439529	down	TH50_5280_S01	Sample 3
HBA1	0	0.860772311687469	down	TH50_5280_S01	Sample 3
HBA2	1.33913738492	1.60830336809158	down	TH50_5280_S01	Sample 3
HBB	0.722466024471	1.42165213823318	down	TH50_5280_S01	Sample 3
HMGB1P5	3.28540221886	3.42195826768875	down	TH50_5280_S01	Sample 3
HMGN5	0.495695162624	0.586973294615746	down	TH50_5280_S01	Sample 3
HNRNPA2B1	7.72068888533	7.95881187915802	down	TH50_5280_S01	Sample 3
HNRNPM	5.03033607837	5.10381555557251	down	TH50_5280_S01	Sample 3
HNRNPUL2-BSCL2	0.584962500721	1.63497757911682	down	TH50_5280_S01	Sample 3
IGFN1	0.310340120612	0.92762291431427	down	TH50_5280_S01	Sample 3
INO80B-WBP1	0	1.21442037820816	down	TH50_5280_S01	Sample 3
ISCA1P1	1.6599245584	2.36847543716431	down	TH50_5280_S01	Sample 3
MRPL20	5.71534429536	5.90636897087097	down	TH50_5280_S01	Sample 3
MRPL52	4.91743175539	4.94794297218323	down	TH50_5280_S01	Sample 3
MT-ATP6	11.4944756148	14.3011739253998	down	TH50_5280_S01	Sample 3
MT-ATP8	10.8093501287	14.7105716466904	down	TH50_5280_S01	Sample 3
MT-CO2	12.1786804106	13.6593023538589	down	TH50_5280_S01	Sample 3
MT-CO3	13.5341642487	13.8912327289581	down	TH50_5280_S01	Sample 3
MT-CYB	12.1419825716	13.363657951355	down	TH50_5280_S01	Sample 3
MT-ND1	11.1766282058	13.1162256002426	down	TH50_5280_S01	Sample 3
MT-ND2	10.8480125607	13.1055195331573	down	TH50_5280_S01	Sample 3
MT-ND3	12.034400069	12.9562729597092	down	TH50_5280_S01	Sample 3
MT-ND4	11.5716910291	13.7378146648407	down	TH50_5280_S01	Sample 3
MT-ND4L	12.0088557646	13.0304819345474	down	TH50_5280_S01	Sample 3
MT-ND5	10.3071097127	10.5047590732574	down	TH50_5280_S01	Sample 3
MT-ND6	10.0962407658	10.5357081890106	down	TH50_5280_S01	Sample 3
MT-RNR1	5.98322165074	9.75198471546173	down	TH50_5280_S01	Sample 3
MT-RNR2	5.63807383718	11.9540433883667	down	TH50_5280_S01	Sample 3
MTATP6P1	8.40892410634	11.2067506313324	down	TH50_5280_S01	Sample 3
MTCP1	0.978195629682	2.58595159649849	down	TH50_5280_S01	Sample 3
MTND1P23	1.57046293103	2.90109103918076	down	TH50_5280_S01	Sample 3
MYBPC2	5.36387192486	5.7482727766037	down	TH50_5280_S01	Sample 3
MYH1	4.62468581053	5.06259000301361	down	TH50_5280_S01	Sample 3
NARF	4.06695024392	4.18123590946198	down	TH50_5280_S01	Sample 3
NDUFAF2	3.56193705962	4.24190670251846	down	TH50_5280_S01	Sample 3
NDUFB9	7.91055279343	8.0868114233017	down	TH50_5280_S01	Sample 3
NDUFS5	6.65578113825	7.74846255779266	down	TH50_5280_S01	Sample 3
OPTN	6.78568131947	6.83415639400482	down	TH50_5280_S01	Sample 3
PDAP1	5.71781348972	6.1835116147995	down	TH50_5280_S01	Sample 3
PDCD5	5.08406426479	5.5819456577301	down	TH50_5280_S01	Sample 3
PFDN2	4.54966917073	4.95587128400803	down	TH50_5280_S01	Sample 3
PFKM	7.51908580096	7.68526589870453	down	TH50_5280_S01	Sample 3
PGK1	6.52841503928	6.63300108909607	down	TH50_5280_S01	Sample 3
PGM1	7.17412673742	7.33915531635284	down	TH50_5280_S01	Sample 3
PKDCC	5.1030779466	5.32531541585922	down	TH50_5280_S01	Sample 3
PNN	3.24944534109	3.3525927066803	down	TH50_5280_S01	Sample 3
POLR2F	4.52669484554	4.5310732126236	down	TH50_5280_S01	Sample 3
POLR2J	4.73443866614	5.45097988843918	down	TH50_5280_S01	Sample 3
POMT1	3.33771109213	3.36628800630569	down	TH50_5280_S01	Sample 3
PRR34-AS1	3.07895134139	3.60167413949966	down	TH50_5280_S01	Sample 3
RNA5SP216	0	1.29469537734985	down	TH50_5280_S01	Sample 3
RP1-261G23.7	3.08576455378	3.3936168551445	down	TH50_5280_S01	Sample 3
RP11-178C3.2	0.356143810225	0.684226095676422	down	TH50_5280_S01	Sample 3
RP11-184I16.4	3.67355642399	3.73458844423294	down	TH50_5280_S01	Sample 3
RP11-234B24.6	0	0.511999905109406	down	TH50_5280_S01	Sample 3
RP11-286N22.8	3.32192809489	3.57800626754761	down	TH50_5280_S01	Sample 3
RP11-305M3.2	0	1.32952752709389	down	TH50_5280_S01	Sample 3
RP11-311C24.1	1.66448284036	1.86435359716415	down	TH50_5280_S01	Sample 3
RP11-343C2.12	0.18903382439	0.842607378959656	down	TH50_5280_S01	Sample 3
RP11-357D18.1	0.422233000683	0.933720350265503	down	TH50_5280_S01	Sample 3
RP11-379K17.12	0	0.721448332071304	down	TH50_5280_S01	Sample 3
RP11-3P17.5	0	0.469261050224304	down	TH50_5280_S01	Sample 3
RP11-408P14.1	0.604071323669	0.7115179002285	down	TH50_5280_S01	Sample 3
RP11-425L10.1	1.23266075679	2.59579795598984	down	TH50_5280_S01	Sample 3
RP11-463I20.1	0	1.22612330317497	down	TH50_5280_S01	Sample 3
RP11-475C16.1	1.124328135	1.94715210795403	down	TH50_5280_S01	Sample 3
RP11-500C12.1	0	0.294198453426361	down	TH50_5280_S01	Sample 3
RP11-513I15.6	0.799087306074	2.03591519594193	down	TH50_5280_S01	Sample 3
RP11-572P18.1	3.65649637055	7.5137357711792	down	TH50_5280_S01	Sample 3
RP11-626G11.3	0	0.192030653357506	down	TH50_5280_S01	Sample 3
RP11-632C17__A.1	1.92599941856	2.35084423422813	down	TH50_5280_S01	Sample 3
RP11-641D5.1	3.78450398293	4.69747710227966	down	TH50_5280_S01	Sample 3
RP11-673C5.1	4.11019617775	4.86174738407135	down	TH50_5280_S01	Sample 3
RP11-681H18.2	3.18110255075	3.44345563650131	down	TH50_5280_S01	Sample 3
RP11-761N21.2	0	0.990035951137543	down	TH50_5280_S01	Sample 3
RP11-770J1.5	0	0.140908509492874	down	TH50_5280_S01	Sample 3
RP11-78A19.3	0	1.62024825811386	down	TH50_5280_S01	Sample 3
RP11-96H19.1	0.422233000683	1.26716697216034	down	TH50_5280_S01	Sample 3
RP11-982M15.2	0	1.04088494181633	down	TH50_5280_S01	Sample 3
RP3-355L5.4	0.389566811763	0.655842393636703	down	TH50_5280_S01	Sample 3
RPL10	9.63350386641	10.0048762559891	down	TH50_5280_S01	Sample 3
RPL11	7.77333704847	8.17401897907257	down	TH50_5280_S01	Sample 3
RPL13A	8.94377484667	9.41119754314423	down	TH50_5280_S01	Sample 3
RPL13AP5	2.3812833725	3.58019769191742	down	TH50_5280_S01	Sample 3
RPL14	7.7589560376	8.15855503082275	down	TH50_5280_S01	Sample 3
RPL17	7.77452352959	7.83260536193848	down	TH50_5280_S01	Sample 3
RPL18AP3	2.10768786931	3.59887385368347	down	TH50_5280_S01	Sample 3
RPL19	8.61176256006	9.04831886291504	down	TH50_5280_S01	Sample 3
RPL23A	8.41802124128	8.50569319725037	down	TH50_5280_S01	Sample 3
RPL23AP42	7.90279715788	8.2038186788559	down	TH50_5280_S01	Sample 3
RPL24P2	0.378511623254	0.966998487710953	down	TH50_5280_S01	Sample 3
